source_file,unit_type,unit_index,pymupdf_table_count,table_like_score,numeric_count,percent_count,currency_count,snippet
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,27,1,14,44,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 链家地产 5124 2 麦田房产 4558 3 21世纪不动产 3660 4 宠福鑫动物医院 3645 5 去哪儿 3618 6 landz 3571 7 克丽缇娜 3562 8 金色时光房产 3522 9 恒洋地产 3505 10 时尚码头 3505 11 爱秀造型 3497 12 永琪美容美发 3489 13 丽锦美容美发 3473 14
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,28,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 luckincoffee 4747 2 星巴克 4582 3 北派修脚 4208 4 华夏良子 4144 5 唱吧麦颂ktv 4053 6 汤泉良子 3966 7 华清池修脚 3903 8 costacoffee 3868 9 在水一方 3833 10 漫咖啡 3806 11 郑远元专业修脚房 3651 12 万达影城 3611 13 man
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,29,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 中体盛世国际健身 3200 2 中体倍力健身俱乐部 3097 3 中田健身工作室 2555 4 supermonkey超级猩猩健身 2445 5 爱尚健身 2437 6 oxygym奥美氧舱运动中心 2389 7 博康游泳健身 2045 8 乐刻运动健身 1995 9 奥力健身 1929 10 漾健身工作室 1924 11 一兆韦德 1903
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,30,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 中国石化 5471 2 中国石油 5235 3 中化石油 4483 4 小海豚加油站 4412 5 壳牌 4304 6 中图石油 4217 7 中化道达尔 4200 8 玛莎拉蒂 4161 9 途虎养车 3995 10 中国海油 3984 11 神州租车 3963 12 众诚加油站 3949 13 海湾石油加油站 3897 14 比亚迪 37
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,31,1,14,44,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 同仁堂 3700 2 明医堂 3512 3 邻客智慧药房 3483 4 金象大药房 3378 5 天保堂平价大药房 3344 6 好一生药房 2990 7 111医药馆 2983 8 宝芝堂 2856 9 紫晶百姓大药房 2822 10 医保中洋大药房 2770 11 百康药房 2670 12 林生堂大药房 2662 13 仁德益药店 255
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,32,1,14,47,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 汉庭酒店 5012 2 全季酒店 4866 3 桔子酒店 4708 4 喆啡酒店 4659 5 速8酒店 4651 6 丽枫酒店 4611 7 7天连锁酒店 4587 8 如家酒店 4566 9 格林豪泰 4528 10 秋果精品酒店 4392 11 桔子水晶酒店 4381 12 亚朵酒店 4378 13 汉庭优佳酒店 4306 14 海友酒
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,33,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 高思教育 4413 2 汉翔书法教育 3645 3 育才教育 3564 4 金宝贝早教 3230 5 高顿教育 3148 6 新东方烹饪学校 3065 7 华图教育 2992 8 宝贝计画儿童美术 2970 9 环球少年 2951 10 卡巴青少儿科技活动中心 2873 11 北大青鸟 2841 12 文新学堂 2766 13 新东方学校 2
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,34,1,14,43,0,0,Dream Deck F130热门到访品牌分析 排序 品牌名称 指数 排序 品牌名称 指数 1 北京银行 4936 2 中国工商银行 4650 3 中国建设银行 4393 4 平安银行 4235 5 交通银行 4207 6 浙商银行 4170 7 中国农业银行 4166 8 中国银行 4080 9 南京银行 4067 10 招商银行 4060 11 兴业银行 4058 12 中信银行 3994 13 北京农商银行 3822 14 中国邮
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,35,1,24,35,22,0,Dream Deck A10人群画像分析-基础属性-职业细分 职业细分 占比 北京市大盘 TGI 网络销售/运营/服务 11.70% 101 软件工程师 12.14% 86 文案/活动策划 7.89% 110 投资/理财顾问 8.22% 105 培训讲师 8.54% 97 售前/售后技术支持工程师 6.50% 100 前台接待/总机 6.34% 101 技术工人/技师 5.79% 105 财务/会计/审计/税务/出纳 5.16% 103
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,36,1,20,11,6,0,Dream Deck A10人群画像分析-基础属性-性别 男 女 性别 占比 北京市大盘 TGI 男 61.71% 56.68% 108 女 38.29% 43.32% 88 20221023-20231022期间到访“城市绿心公园”的流动人口中，性别“男”的占比最高，为 61.71%（北京市性别“男”占比56.68%）。
