source_file,unit_type,unit_index,text_length,table_like_score,number_count,percent_count,currency_count,date_count,zero_like_count
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,4,599,10,66,0,0,56,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,5,127,4,18,0,0,4,11
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,6,599,10,66,0,0,56,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,7,127,4,18,0,0,4,11
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,8,195,10,28,0,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,9,127,4,18,0,0,4,11
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,10,209,10,31,0,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,11,127,4,18,0,0,4,11
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,12,209,10,31,0,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,13,127,4,18,0,0,4,11
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,14,264,22,40,19,0,3,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,15,263,22,40,19,0,3,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,16,268,22,41,20,0,3,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,17,258,22,38,16,0,3,4
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,18,268,22,41,20,0,3,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,19,146,10,14,0,0,2,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,20,117,7,8,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,21,327,12,28,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,22,207,22,36,21,0,2,5
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,23,461,24,53,22,1,2,22
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,24,509,24,48,22,0,2,8
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,25,461,24,53,22,1,2,22
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,26,211,15,12,0,3,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,27,370,16,23,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,28,274,15,15,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,29,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,30,215,13,11,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,31,163,11,7,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,32,129,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,33,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,34,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,35,410,16,23,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,36,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,37,235,13,11,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,38,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,39,124,10,5,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,40,170,12,9,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,41,210,15,12,0,3,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,42,366,16,23,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,43,292,15,15,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,44,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,45,215,13,11,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,46,163,11,7,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,47,129,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,48,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,49,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,50,400,16,23,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,51,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,52,235,13,11,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,53,131,9,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,54,124,10,5,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,55,177,12,9,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,56,120,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,57,96,8,5,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,58,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,59,100,8,5,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,60,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,61,120,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,62,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,63,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,64,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,65,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,66,120,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,67,120,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,68,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,69,100,8,5,0,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,70,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,71,120,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,72,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,73,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,74,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,75,122,7,5,0,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,76,243,22,14,11,0,2,7
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,77,288,22,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,78,248,20,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,79,194,22,14,11,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,80,240,22,14,11,0,2,4
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,81,220,22,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,82,471,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,83,430,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,84,390,24,39,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,85,449,24,63,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,86,362,24,31,12,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,87,271,22,16,8,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,88,244,20,13,6,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,89,452,24,71,18,0,2,3
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,90,244,20,13,6,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,91,478,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,92,317,22,27,8,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,93,452,24,64,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,94,271,22,16,8,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,95,378,24,35,16,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,96,433,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,97,430,24,65,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,98,222,22,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,99,286,22,14,11,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,100,239,22,14,11,0,2,4
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,101,239,22,14,11,0,2,9
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,102,191,22,14,11,0,2,8
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,103,257,20,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,104,271,22,16,8,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,105,449,24,63,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,106,471,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,107,390,24,39,16,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,108,430,24,37,22,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,109,244,20,13,6,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,110,362,24,31,12,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,111,452,24,71,18,0,2,3
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,112,288,22,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,113,220,22,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,114,243,22,14,11,0,2,7
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,115,194,22,14,11,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,116,248,20,14,11,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,117,240,22,14,11,0,2,4
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,118,356,24,30,12,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,119,301,22,23,8,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,120,358,24,31,12,0,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,121,565,24,77,20,20,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,122,471,24,63,16,16,2,2
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,123,420,24,58,14,0,2,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,124,389,24,51,14,0,2,0
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,125,694,24,94,22,0,3,1
20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,page,126,603,24,79,20,0,4,4
